Todos los mensajes del registro de eventos.
Fecha:	2023-07-26 11:07:27
Nombre de sistema:	44-52645
Nombre de controlador:	192.168.133.1
ID de controlador
	44-52645

RobotWare:	5.15.2005
Clave:	8sck58u9TAckcgmgkcTk6cP
Opciones:	
	RW Control module key
	RobotWare OS and English
	644-3 Spanish
		645-1 French
		709-x DeviceNet
			709-1 Master/Slave Single
			840-2 Profibus Fieldbus Adapter
			605-1 Multiple Axis Positioner
			609-1 Fixed Position Events
			618-1 Fieldbus Command Interface
			620-1 File and Serial Channel Handling
			621-1 Logical Cross Connections
			622-1 Analog Signal Interrupt
			623-1 Multitasking
			626-1 Advanced RAPID
			631-1 Electronically Linked Motors

DriveModule1
Clave:	nB7t92OQZI66v
Opciones:	
	RW Drive module 1 key
	ABB standard manipulator
		IRB 4400 Type B
			4400/60 Type B
			Add axes IRB/drive module 4400/940
				R2C2 Standard
					No drive in pos Y2



Mensajes de registro de Común
SeqNo     	Tipo	Categoría           	Código  	Título                                  	Fecha               	Descripción	Argumentos
24760502  	I   	Operativo           	10045   	Sistema reiniciado                      	2023-07-24 19:51:40 	Se ha reiniciado un sistema ya instalado.	{args: }
24760503  	E   	E/S y comunicación  	71301   	Bus desconectado, fallo de comunicación del bus DeviceNet	2023-07-24 19:51:43 	Se ha producido un número elevado de errores en el bus DeviceNet <DeviceNet1>. 	{args: "DeviceNet1"}
24760504  	E   	E/S y comunicación  	71299   	Sin alimentación en el bus de DeviceNet 	2023-07-24 19:51:44 	Falta la alimentación de 24 V proveniente de la fuente de alimentación de DeviceNet.	{args: "DeviceNet1"}
24760506  	I   	Operativo           	10012   	Estado de paro protegido                	2023-07-24 19:52:36 	El sistema se encuentra en el estado de paro protegido. Entra en este estado después de pasar del modo automático al manual o si el circuito Motores ON ha sido abierto por un paro de emergencia, un paro general, un paro automático o un paro superior.	{args: }
24760507  	I   	Operativo           	10015   	Modo manual seleccionado                	2023-07-24 19:52:36 	El sistema se encuentra en el modo manual.	{args: }
24760508  	I   	Operativo           	10155   	Programa reiniciado                     	2023-07-24 19:52:36 	La ejecución de la tarea T_ROB1 se ha reanudado en el mismo punto en el que se detuvo anteriormente. No fue posible determinar el origen.	{args: "1", "T_ROB1"}
24760509  	I   	Operativo           	10002   	Puntero de programa restablecido        	2023-07-24 19:52:36 	El puntero de programa de la tarea Supervison se ha restablecido.	{args: "2", "0", "Supervison"}
24760510  	I   	Operativo           	10150   	Programa iniciado                       	2023-07-24 19:52:36 	La ejecución de la tarea Supervison ha empezado por la primera instrucción de la rutina de entrada de la tarea. No fue posible determinar el origen.	{args: "2", "Supervison"}
24760511  	E   	Operativo           	10106   	Mensaje de servicio                     	2023-07-24 19:52:38 	Ha llegado el momento de realizar el servicio técnico del robot ROB_1 porque han transcurrido 458 días desde el último servicio técnico.	{args: "458", "ROB_1"}
24760512  	I   	Operativo           	10129   	Programa detenido                       	2023-07-24 19:52:38 	La tarea T_ROB1 se ha detenido. Se debe a que la rutina de evento de RESET o POWER_ON se ha ejecutado en su totalidad.	{args: "1", "T_ROB1"}
24760513  	I   	Operativo           	10016   	Modo automático solicitado              	2023-07-24 19:53:11 	Se ha solicitado al sistema que pase al modo automático.	{args: }
24760514  	I   	Operativo           	10010   	Estado de Motores OFF                   	2023-07-24 19:53:11 	El sistema se encuentra en el estado Motores OFF. Entra en este estado después de pasar del modo manual al automático o si el circuito Motores ON se ha abierto durante la ejecución del programa.	{args: }
24760515  	I   	Operativo           	10017   	Modo automático confirmado              	2023-07-24 19:53:16 	El sistema se encuentra en el modo automático.	{args: }
24760516  	I   	Operativo           	10011   	Estado de Motores ON                    	2023-07-24 19:53:22 	El sistema se encuentra en el estado Motores ON.	{args: }
24760517  	E   	Operativo           	10098   	Imposible reiniciar                     	2023-07-24 19:53:22 	La tarea T_ROB1 se ha encontrado en el estado de fallo de sistema y por ello no es posible reiniciar el programa desde la posición actual.	{args: "T_ROB1"}
24760518  	W   	Sistema             	20142   	Inicio rechazado                        	2023-07-24 19:53:22 	El inicio/reinicio del programa a través de las E/S del sistema fue rechazado.	{args: "-2"}
24760519  	E   	Operativo           	10098   	Imposible reiniciar                     	2023-07-24 19:53:25 	La tarea T_ROB1 se ha encontrado en el estado de fallo de sistema y por ello no es posible reiniciar el programa desde la posición actual.	{args: "T_ROB1"}
24760520  	E   	Operativo           	10098   	Imposible reiniciar                     	2023-07-24 19:53:29 	La tarea T_ROB1 se ha encontrado en el estado de fallo de sistema y por ello no es posible reiniciar el programa desde la posición actual.	{args: "T_ROB1"}
24760521  	E   	Operativo           	10098   	Imposible reiniciar                     	2023-07-24 19:53:29 	La tarea T_ROB1 se ha encontrado en el estado de fallo de sistema y por ello no es posible reiniciar el programa desde la posición actual.	{args: "T_ROB1"}
24760522  	E   	Operativo           	10098   	Imposible reiniciar                     	2023-07-24 19:54:49 	La tarea T_ROB1 se ha encontrado en el estado de fallo de sistema y por ello no es posible reiniciar el programa desde la posición actual.	{args: "T_ROB1"}
24760523  	E   	Operativo           	10098   	Imposible reiniciar                     	2023-07-24 19:54:54 	La tarea T_ROB1 se ha encontrado en el estado de fallo de sistema y por ello no es posible reiniciar el programa desde la posición actual.	{args: "T_ROB1"}
24760524  	I   	Hardware            	37105   	Comunicación recuperada con la fuente de alimentación	2023-07-24 19:55:03 	El ordenador principal ha recuperado la comunicación con la fuente de alimentación del módulo de control.	{args: "0"}
24760525  	I   	Operativo           	10002   	Puntero de programa restablecido        	2023-07-24 19:55:04 	El puntero de programa de la tarea T_ROB1 se ha restablecido.	{args: "1", "0", "T_ROB1"}
24760526  	I   	Operativo           	10002   	Puntero de programa restablecido        	2023-07-24 19:55:07 	El puntero de programa de la tarea T_ROB1 se ha restablecido.	{args: "1", "0", "T_ROB1"}
24760527  	I   	Operativo           	10052   	Inicio de recuperación                  	2023-07-24 19:55:10 	El movimiento de recuperación se ha iniciado.	{args: "0"}
24760528  	I   	Operativo           	10053   	Recuperación ejecutada                  	2023-07-24 19:55:10 	El movimiento de recuperación se ha ejecutado en su totalidad.	{args: "0"}
24760529  	I   	Operativo           	10151   	Programa iniciado                       	2023-07-24 19:55:10 	La ejecución de la tarea T_ROB1 ha empezado por la primera instrucción de la rutina de entrada de la tarea. El origen es un cliente externo.	{args: "1", "T_ROB1"}
24760530  	W   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 19:55:19 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /LOGICA/R_INIT_SIG/Reset/81	{args: "T_ROB1", "Tarjeta_1", "/LOGICA/R_INIT_SIG/Reset/81", "ERR_NORUNUNIT"}
24760531  	E   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 19:55:19 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /LOGICA/R_INIT_SIG/Reset/81	{args: "T_ROB1", "Tarjeta_1", "/LOGICA/R_INIT_SIG/Reset/81", "ERR_NORUNUNIT"}
24760532  	E   	Programa            	40228   	Error de ejecución                      	2023-07-24 19:55:19 	La ejecución de la tarea T_ROB1 ha sido detenida por un error de tiempo de ejecución 41555. 	{args: "T_ROB1", "41555"}
24760533  	I   	Operativo           	10020   	Estado de error de ejecución            	2023-07-24 19:55:19 	La ejecución del programa de la tarea T_ROB1 se ha detenido a causa de un error espontáneo.	{args: "1", "T_ROB1"}
24760534  	I   	Operativo           	10126   	Programa detenido                       	2023-07-24 19:55:19 	La tarea T_ROB1 se ha detenido. Se debe a que se ha producido un error.	{args: "1", "T_ROB1"}
24760535  	I   	Operativo           	10021   	Restablecimiento de error de ejecución  	2023-07-24 19:55:52 	 La ejecución del programa de la tarea T_ROB1 ha abandonado el estado de error espontáneo. 	{args: "1", "T_ROB1"}
24760536  	I   	Operativo           	10052   	Inicio de recuperación                  	2023-07-24 19:55:52 	El movimiento de recuperación se ha iniciado.	{args: "0"}
24760537  	I   	Operativo           	10053   	Recuperación ejecutada                  	2023-07-24 19:55:52 	El movimiento de recuperación se ha ejecutado en su totalidad.	{args: "0"}
24760538  	I   	Operativo           	10156   	Programa reiniciado                     	2023-07-24 19:55:52 	La ejecución de la tarea T_ROB1 se ha reanudado en el mismo punto en el que se detuvo anteriormente. El origen es un cliente externo.	{args: "1", "T_ROB1"}
24760539  	W   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 19:55:52 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /LOGICA/R_INIT_SIG/Reset/81	{args: "T_ROB1", "Tarjeta_1", "/LOGICA/R_INIT_SIG/Reset/81", "ERR_NORUNUNIT"}
